DatePrel,1303,1311,1301,1302,1312,1841,1295,1335,1314,1433,1313,1350,1319,1340,1339,1305,1342
2014-06-04,561.0,8.4,19.2,8.1,92.0,2.4,4.6,0.04,20.0,0.15,0.5,0.054,0.5,7.0,0.03,2.4,4.1
2014-07-24,496.0,8.5,21.6,8.1,100.0,3.1,9.1,0.05,20.0,0.23,0.5,0.085,0.5,8.5,0.05,9.6,5.6
2014-07-25,461.0,8.75,21.4,8.0,101.8,3.1,13.0,0.01,20.0,0.21,0.5,0.076,0.5,8.4,0.06,13.0,6.0
2014-08-22,504.0,9.1,19.8,8.2,102.0,2.8,4.9,0.01,20.0,0.03,0.5,0.044,0.5,7.5,0.02,5.0,5.2
2014-09-16,545.0,7.7,21.8,7.9,90.0,2.5,1.6,0.01,20.0,0.19,0.5,0.068,0.5,5.9,0.02,1.0,4.3
2014-09-25,524.0,8.35,19.2,7.9,90.4,2.5,5.6,0.06,20.0,0.16,0.7,0.06,0.5,6.0,0.02,5.2,4.5
2014-10-29,524.0,8.35,19.2,7.9,90.4,2300.0,5.6,0.06,20.0,0.16,0.7,0.06,0.5,6.0,0.02,5.2,4.5
2014-11-04,535.0,9.62,12.9,8.07,94.9,2.9,3.8,0.06,20.0,0.21,1.0,0.068,0.5,10.3,0.04,4.6,6.0
2015-01-30,455.0,11.72,5.4,8.2,100.9,2.2,31.0,0.06,20.0,0.15,1.7,0.096,0.6,11.7,0.06,28.0,6.7
2015-02-24,484.0,12.54,6.3,7.9,102.3,2.6,20.0,0.07,20.0,0.14,1.1,0.073,0.5,11.2,0.07,15.0,5.5
2015-03-23,508.0,10.56,11.4,8.2,102.2,2.0,4.1,0.04,20.0,0.1,1.3,0.04,0.5,10.5,0.03,2.0,3.9
2015-04-13,433.0,9.73,11.8,8.05,90.1,2.7,9.5,0.04,20.0,0.12,1.1,0.053,0.5,8.0,0.04,8.2,4.7
2015-04-15,441.0,10.3,14.5,8.1,101.0,2.6,6.5,0.04,20.0,0.14,1.0,0.055,0.5,8.1,0.04,4.6,4.5
2015-05-18,479.0,9.21,19.2,8.1,102.0,2.8,5.2,0.05,20.0,0.18,0.8,0.064,0.5,8.1,0.04,2.0,5.8
2015-05-20,493.0,8.4,16.8,8.2,94.0,2.6,6.3,0.05,20.0,0.18,0.7,0.063,0.5,8.2,0.04,5.0,5.7
2015-06-15,562.0,7.37,23.8,8.0,89.9,1.9,2.6,0.05,20.0,0.18,0.5,0.063,0.5,7.5,0.03,2.0,4.5
2015-06-18,578.0,8.1,22.5,8.1,94.7,2.0,6.4,0.05,20.0,0.17,0.5,0.059,0.5,6.8,0.03,4.0,4.2
2015-07-06,623.0,8.0,25.8,8.2,99.2,2.7,2.8,0.07,20.0,0.12,0.5,0.05,0.5,5.4,0.02,3.0,4.7
2015-07-16,586.0,8.8,27.5,8.4,114.0,2.5,3.7,0.09,20.0,0.08,1.0,0.039,0.5,4.0,0.04,3.2,5.0
2015-08-13,619.0,6.76,25.0,7.8,83.2,2.4,3.2,0.11,20.0,0.2,1.1,0.065,0.5,3.1,0.04,1.6,5.5
2015-08-19,668.0,7.7,23.5,8.0,92.0,2.3,3.6,0.05,20.0,0.2,0.5,0.066,0.5,3.3,0.03,2.0,3.3
2015-09-03,761.0,7.36,22.7,7.8,86.6,2.3,3.5,0.09,20.0,0.19,0.7,0.061,0.5,3.3,0.02,3.8,4.9
